,0
97,从不抗拒建立在说教之上的主旨，踏实平稳的叙事总能让立意如同指挥棒，引领类型人物完成既定的协奏曲，无论是私密情感的流淌，还是对生命历程的回望，都是一种义无反顾的普世价值铺展，这就是皮克斯的电影观。结局的圆满或许是缺憾，但幕布迅速拉下，留下观众怀抱着对生活的热忱与信心继续前行。
98,比想象力，皮克斯从没输过
99,开头五分钟很常规，然后…然后…再然后…再然后…不断把人置于惊喜当中，在两种截然不同的美术风格之间不停跃动，创造出一种音乐性，也显示出皮克斯不竭的创造力和想象力。一个是需要目标的灵魂，一个是需要肉体的目标，二者相互扶助成全，某些瞬间还是蛮让人动容。黑人和女性地位凸显，但又没有太被强调出来，各方面平衡性做得很好。令人遗憾的是中段有点太碎，结尾又太圆满，既然成人路线都走成这样儿了，那就不如再干脆利落一点吧？（这个团队为啥对中阴那么感兴趣）
100,5.5/10。给大城市打工人的美式快餐，喜欢里面对城市细节的打磨。不喜欢灵魂世界那种《今夕何夕》式画风，在儿童与成人间反复横跳，主要还是太难看了，不能学一下汤浅政明今石洋之那种脑洞吗？中间差点睡着，尤其是进入猫身体那部分，差点变成流浪猫鲍勃。整体像无聊版的《爱乐之城》，想知道达米恩·查泽雷看完怎么想。（我怀念那个总动员时期引领潮流的皮克斯，而不是现在头脑特工队、coco、½的魔法、soul这样靠一点小创意一点感伤一点小成长的一碗碗流水线鸡汤）
101,也不是特別好，挺老套的，但當Joe把棒糖、披薩邊、線圈、碎麵包和黃葉在鋼琴上一字排開的時候，突然就哭得稀裡嘩啦。生活不是一個目標，生活是每一分鐘。
102,我觉得这部电影在2020年底出现简直就像一颗充满力量的恒星，它闪耀着一种也许微弱的光，但却时刻告诉我们要充满希望的珍惜当下。人生的完满不在乎它高光时刻有多耀眼，而在于它每一分每一秒所散发的微弱的光；那些我们和家人的每一次欢笑，在街边吃到的美食每一次惊喜，哪怕在树下每一次被落叶敲中的平凡无奇...这些所有微光汇聚而成的人生，才是真正的人生，一个充满灵魂的人生。
103,近几年看过的迪士尼最佳，之前从未有过一部动漫作品教你“放下梦想，热爱生活”，梦想不是一切，每一个灵魂迷失的人也许都执迷于所谓目标而忘记了眼前的生活。也许正因为当下流行的各种正能量激励追梦少男少女的故事看多了，当银幕上突然出现这样一部冷静克制反套路的作品时，不由得拍案叫绝。2020奥斯卡动画长片是稳拿了，不过话说回来，执迷不悟的人实在太多了，似乎只有当一个人从死亡世界回来才能有所顿悟的话，是不是有些太迟了呢？活在当下，享受生活中的每一秒吧。共勉。
104,应该怎么表达内心的澎湃呢？这是一部献给抑郁症（活着没意思）和焦虑症（有明确目标地活着）的情歌，它告诉我们人生本没有任何意义，活着就是活着本身而已。联想到18年之前，我那么渴望成为一名导演，这种如此强烈的执念让我差点成为片中的怪物，直到1年后才发现记忆里最深的是去上海办展期间硬卧床上闪烁的阳光，和朋友们窝在宾馆看鬼片，为订的工作盒饭里太多肥肉而争吵……这些与目标毫不相关的碎片，恰恰就是影片里那半个甜甜圈，线圈，还有那片树莢。未来做不做导演，做不做电影，对我来说已经不再重要了，life goes and that matters
105,就还好吧。现在好莱坞电影，就没有不是套路的，这部也免不了，强行正能量。关键我这人天天就一身正能量，还对身边的人不断唠叨辐射，看了这种小儿科鸡汤动画，真的很难被打动呀。7分
106,主题大胆，视觉大胆，讲故事的方式也大胆。灵魂拷问不稀奇，稀奇的是全面创新。
107,一语双关的《Soul》本质上是在向渴望奇观发生的现代人贩卖奇观。在当下这个灵肉分离的时代，这种破《茧》成蝶般的成长体验既可以像真实可触的琴键那样具象，也可以如音乐灵感那般抽象。事实上，绝大多数人的灵魂都会随着死神的降临而彻底消失。如果你不想碌碌无为地过完这一生，那么就像男主角一样去寻找和探索自我吧。他之所以「死后」仍然拥有感知万物的灵魂是因为「死前」就已找到和证明了自我，为此，他的「放下」完全顺理成章合情合理。即便转世投胎成为阿猫阿狗也没脾气，事实上，不管变成什么模样他也都只能说愿意。而暂时陷进「迷失域」的人则需要导师的指引才能找到航向——灵肉统一地返回（家园）该去的领域。然而之后的「万物有灵论」则显示出创作者们一厢情愿的可爱了。试想，谁会指望拥有灵性的猫来教TA做个拥有独立思考能力的人呢？
108,任何追逐梦想的人都会恨有感触，这部作品试图回答终极问题“人为什么而活”。人生需要目的吗？活着需要梦想吗？拥有天赋是否意味着某种诅咒？李宗盛唱着“越过山丘却发现无人等候”，流川枫下雨中自言自语“赢了，赢了又怎么样呢？”……很难老少咸宜的动画，可以预见皮克斯在中国市场会继续遇冷。
109,Being alive means a lot.
110,2020看过的最震撼人心的动画片，为灾难年点燃了闪亮的火花。与其说是动画，更是一部面向每位成年人的电影，以幽默夸张的手法展开，涉及生与死的话题。尤其是对于在追逐梦想道路上的人而言是一种激励，对于无所事事、无求无欲的人而言更是一种“点亮”，什么才是人生的sparks?我的sparks就是art，包括动画片，从幼儿园起迪士尼动画片light my life，后来的皮克斯更是照亮了我的青春，从来不会令我失望，这部更是惊喜。泪点不断。人生是值得的。
111,一.2015年度最爱《头脑特工队》，2017年度最爱《寻梦环游记》，2020年度最爱《心灵奇旅》，皮克斯又一次凭实力牢牢占据我心中最爱的三维电脑动画工作室的地位。二.我所深爱的电影、音乐、动画、家人……是我生命活下去的动力，如此说来，他们也是我灵魂的火花。三.非英语片的《寄生虫》在今年同时获得奥斯卡最佳国际影片和最佳影片后，偏爱动画的我就开始期待哪天能有部动画电影同时夺得奥斯卡最佳动画长片与最佳影片的殊荣，而在《心灵奇旅》的影院观影过程中，这个想法不禁再次油然而生。四.《寻梦环游记》是人与狗，《心灵奇旅》则是人与猫。五.看到那只过街老鼠瞬间就联想起《料理鼠王》，而路边街景则唤起《怪兽电力公司》《大眼仔的新车》的记忆，学校教音乐→《摇滚校园》，爵士吧→《爱乐之城》，……，被心灵学院段落萌化，准备二刷、三刷……
112,皮克斯稳到可怕，继《寻梦环游记》的亡灵世界之后，又以绝妙的想象力营造出了一个奇幻的灵魂世界，概念与娱乐并驾齐驱。对人生的执着或是逃避都不是最重要的东西，体验平凡，认真去对待人生的每时每刻，这才是生命最完整的意义；是一次对追逐理想与回归平凡的双向成全，是对存在主义的探索与自证。几乎已无悬念锁定2020年度最佳，以及93届奥斯卡最佳动画长片。
113,带给我的感动没有头脑特工队那么强，但已经是十分优秀的动画片了。创意创意创意。
114,苏格拉底说，未经审视的人生不值得一过，只是多少人活到了头也没来得及咂摸一下自己的人生？成不成功没那么重要，重要的是活在当下的每一刻，看一片叶子落下，吃一颗棒棒糖，哪怕只是简单地走在路上，千万别为了寻找大海的目标，忘了早已身在大海的事实。生活不过是此时此地此身。
115,比想象力，皮克斯从没输过
116,我的命运已经被改变，所以没有共同语言
117,皮克斯掌握着全球最先进的动画技术，细节精致把控到分毫，拿出放大镜来观察也能禁得住考验。在掌握先进技术的同时，每次总能扣住温情的主题，带给忙碌生活的人们以抚慰。只是这次带给我的感动并没有相似题材的《意外的幸运签》多。
118,"为什么要思考意义是什么？
那灵魂被击穿的瞬间，落叶飘下的瞬间，jazz响起的瞬间，所有的一切不都是有意义的吗？响应体验派的号召吧。
我时常思考为什么我走路的时候会喜欢触碰事物，会对路上遇见的很多微不足道的事情好奇，以前我会觉得自己是多动症罢了，现在想起来，也许那刻我jazzy了吧！"
119,开头五分钟很常规，然后…然后…再然后…再然后…不断把人置于惊喜当中，在两种截然不同的美术风格之间不停跃动，创造出一种音乐性，也显示出皮克斯不竭的创造力和想象力。一个是需要目标的灵魂，一个是需要肉体的目标，二者相互扶助成全，某些瞬间还是蛮让人动容。黑人和女性地位凸显，但又没有太被强调出来，各方面平衡性做得很好。令人遗憾的是中段有点太碎，结尾又太圆满，既然成人路线都走成这样儿了，那就不如再干脆利落一点吧？（这个团队为啥对中阴那么感兴趣）
120,先不说把灵魂窄化成“知道自己人生的意义”有多低龄，就说灵魂这种又虚又大的概念，是靠何等的鬼扯才能搭建出一套完整又基本合乎逻辑的小宇宙。。。这和《头脑特工队》不一样，性格形成论这种东西，很容易理解并产生共情，可是说到灵魂，说白了，纯靠编了。
121,"
《平凡就是成功》，奥斯卡最佳动画长片已锁定，不是我立马跟他求婚。
"
122,看完这部肯定了：皮克斯的编剧绝壁是要求系统修习心理学的，他们最擅长的就是把已经老掉牙到往往令人们视而不见的常识转述成一个娓娓动听的童话。
123,Super freaking middle class though 😅
124,虚高：过于说教，皮克斯老想靠“哲理”取胜，小朋友不买账
125,赞美当下、肯定世俗生活、强调生命体验的重要性——同样以爵士乐为底，堪称是一剂针对《爆裂鼓手》以及将其中的成王败寇逻辑奉为圭臬的丛林法则崇拜者的药方，即使会被看作是鸡汤安慰剂，但内核仍然深得我心。把朴素哲学理念用华丽概念+通俗故事包装起来，再润物细无声地层层拆开，是皮克斯看家本领，对Pete Docter而言也是驾轻就熟了。画风创意无需更多赞美（纽约的现代艺术环境，的确适合线条风灵魂会计师一展身手），但此次对灵魂学院的宏大设定没有更多延展，更多集中在“讲道理”上。配乐又是 Trent Raznor & Atticus Ross，真爱了。
126,一首稻香足以概括，周杰伦牛逼。
127,"“灵魂是压不死的，只有生活才可以”。
院线经理们快醒醒，郭敬明们给你们下了什么迷魂药，为什么这么好的片子没有排片，却全排给了烂片。即使出了资源又怎样，这部电影是属于大银幕的。年度最佳动画长片！"
128,道理我都懂，可是这一年，我彻底失去了享受生活中的披萨、棒棒糖、阳光、音乐……的能力，姬友在旁边边看边哭，而我在最爱之一的影院里感受到的是难以挣脱的疲乏。
129,"心灵是在这个年代我们最需要找回的东西。

这是皮克斯近年来表达水准最高的电影，它在宏观与微观层面完美的表达令人惊叹。爵士是属于灵魂的音乐，皮克斯用这个点稳稳把握住了影片的节奏，将一个偌大的哲学命题用生活中最小的细节去阐述。最后那一段近乎满分的蒙太奇将情绪彻底释放，会感叹生活是多么的美好。

这样的视觉效果，这样的配乐级别，竟然只配在影院里每天仅排一场普通厅，这简直是对拥有灵魂电影的践踏，这反而也从侧面反映出了利益至上年代对灵魂的缺失。可能这话有些许的极端，但我真的认为这样的影片配得上更多的排片，需要让更多的人去看到。"
130,"再失落的人，看了这个片子也会继续热爱生活吧。
Monica:life is suck.you are gonna love it.


PS:天天说中国的动画或电影与西方的人落后程度，这个片子才是东方几千年都拍不出来的电影。从理念世界到精神分析到存在主义，西方哲学碰撞几百年，其实精神已经深刻的融入艺术作品中，甚至是像这种非常通俗流行的作品，但同时也是充满思辨的。
什么时候东方哲学才能用如此的形式重新出发呢。"
131,"从预告片放出来就开始期待，结果是，不负期待。
这部不像《寻梦环游记》那样走外在的温情路线，而是回到内心，去探讨一个略显严肃的问题：什么样的生活值得过？
当然整部电影还是非常轻松、愉悦的。
我喜欢它给的答案。
生命的火花并来自于梦想、爱好、自我实现这些必须要追寻的东西，而只是对于生活单纯地热爱。
没有什么是必须，存在先于本质，生活先于意义。"
132,如何过好平凡人生的每一天？对我来说：不把得来的一切看作理所当然，感受生活，敬畏生命，怀揣梦想，让内心充实……
133,动画电影居然都这么有深度！假如生命只有最后一天，还谈什么意义呢？眼前的一切尽是意义。
134,看到中间一度以为是又一部《头脑特工队》，后来发现高概念只是浅层外壳，里面包裹着一个“公路”类型片，大叔+萝莉的组合以一种意想不到的方式走了一趟“人生”之旅，困于梦想和现实夹缝中的人和困于“人间不值得”理论的人，最终都明白了人生的真谛在于感受而非目标和结果。影片的治愈性在于真实的共情而非空洞的励志，非常愉快的观影过程。心灵之旅同时也是灵魂音乐之旅，感受到美妙的律动。PS: 灵魂学院的Jerry老师们长得也太像Finder图标了吧
135,"二十二隐喻的是不是抑郁症病人啊，“什么都没意思，活着好无聊，我没有用，所有人都说我不够好，我就是做不到”。二十二拿到通行证的方式告诉我们，就上手速度而言，实操比理论快多了。哪怕你把把科目一题库刷爆，也不如直接握着方向盘去道上溜一圈。"
136,对我而言这只是没什么想象力满是说教的心灵鸡汤片。乔伊与22的关系没有形成强烈的互相作用力，更多的只让我感觉到乔伊单向的对22的影响和改变，乔伊与他母亲之间的矛盾属于在外，并且化解的过程也很简单，而他的内在的困境并不明显。整个故事走向很模式化，并且已经没有了皮克斯以往令人称道的想象力，甚至从头到尾满口的“爵士”到头来也没能让人感受到爵士乐的魅力。
137,尽管生活看起来很糟糕，但还是要热爱生活.......
138,都去看吧，一部能治愈你2020所有的不开心
139,庸俗。前半段好，热爱生活热爱当下需要这么绕的一个故事来表达吗？活着就是要有“火花”要有目标，如果只是享受食物、落叶、日常的小确幸是不够的，那是“社畜”的梦想。理想并不和小确幸冲突，只会让小确幸跟更充分，同时还享受自我实现、自我发展的大确幸。
140,对“执念太深所以迷失了与生活的联系”变成怪物这个设定非常能共情 问题是男主这种目标特别具体的奋斗逼才更容易变成怪物 同时男主这类人其实不太容易搞好爵士乐 搞搞古典或者金属速弹倒是挺合适 其他地方很流畅 最后一句台词出来之前我已经猜到了 一个字都不差 换我写这个主题 我大概会写男主逐渐领悟了教书的快乐 另外迷幻段落尺度也太大了吧
141,皮克斯八股文，没有一处情节超越常规，没有一处写作突破匠气，只是主题切中并安抚了当代人的处境焦虑，然而这个东西七十多年前在弗兰克卡普拉手里就已经被讲述得登峰造极了，也正是它的普世性让它在时代和地域的可流转下变得平庸，可惜的是这种平庸并不能跟电影歌颂平庸的主题相自洽。
142,"You only live once. Be not afraid, every tiny little moment of living will spark to fix you, echo to seize you. A perfectly gentle endnote for 2020. "
143,这两年的皮克斯已经沦为了甜蜜治愈的情感棉花糖，有一种90年代励志的光。但完全失去了inside out里bingbong消失时带给你仰面一拳泪如雨下的震撼感。我喜欢龇牙咧嘴却自恋的球球，也会被微小的细节打动。但很遗憾这个故事非要再给Joe一次机会，所以它没有更直接的把故事的核心说完：你用尽力气，放弃梦想，对爱有心无力，过不好平凡的一生。那也没什么。”
144,3D的观影太差了，带了3D眼镜亮度很低，把我都看睡着了，回头在家再看一次
145,“灵魂不会被压垮，压垮你的是生活。”出人头地并不是我们来到这世上唯一的意义，没有梦想的灵魂也是独一无二的。人生哪有那么多的大道理，去感受世间的一切就够了，每一个平凡的灵魂都是闪闪发光的。
146,电影后半段我几乎是情绪失控的，哭得不能自已。忘我空间里那些吞没小人的黑色粉末很像抑郁情绪的具象化，不是每个人都能像22那么幸运有男主去把她拉出泥潭，但电影还是很有启示意义的，能平凡的活着，享受当下的每个看似不起眼的瞬间，就已经很厉害啦
147,3.5 缺点是构建的很知性决定论，可但是，再来一次的机会简直就是道德自然美对生活愿景的完满完美构建， 没有啥能比这个在这样一个糟心的年景里更让人宽慰的了，此鸡汤浓厚醇香，要干！况且，好莱坞里皮克斯造的梦中梦就是有这种让人敞开胸怀的属性，Soul灵魂、灵魂乐、心灵、梦想、感受等等参差多义的多重所指，在某些方面就是能落实到使人落泪的现实意义，年度温暖！=￣ω￣= ！
148,感觉心灵之旅的编剧团队集体练习过正念，“觉察当下”、“扩大感官范围”、“不因焦虑和压力失去对真实生活的感知”。硅谷的流行文化里果然有meditation 一席之地。
149,抽象的概念化解为通俗的符号向来是皮克斯的强项，对个体灵魂存在的认可、对寻找生活意义的缜密捕捉很精确，在主角演奏成功后，还能继续延伸主题解释了皮克斯一直所向披靡的原因。但更有趣的是，在现实部分那接近于真人电影的镜头和质感都在愈加拉近动画与真人的隔阂，动画也能够开始用高昂的预算去还原生活的触感。
150,看完这部电影，你不但可能会爱上爵士，更重要的，是可能重新爱上生活。还好我不用先死一次就已经懂得珍惜现在的一切～
151,拥抱平凡，快乐生活。这碗鸡汤我喝了毫无感觉。
152,看到最后22跳伞的时候地图好像是我国……………………急死我了，在电影院脱口而出：快逃！
153,全年最好的电影在年尾最后的这个时刻才上映，也算是惊喜了。
154,一部有着哲学高度的电影。
155,"——🍅97%🍿️91%——可以有目标，但是没必要。
❶ 以“SOUL”的名字呼唤爵士。
❷原名“生之来处”的心灵学院（不改名，非“学院”）教你做人。实际，即使林肯、甘地、特蕾莎等人也无权评判你。
❸这边的人设可盐可甜，那边的灵魂可男可女。
❹不识海洋真面目，只缘身在此水中——“火花”不是人生目标，想生活的那一刻就是生命的火花。迷失与忘我，执念之差。皮克斯解构“丧文化”，摘除当代社畜的金箍。反追梦、反宏大、反焦虑。
❺拜登胜选，徒留“海宝”（黛瑞）在奥巴马心爱的《心灵奇旅》里操着一口“川普”自卖自夸；二十二降生在中国？迪士尼驻华有希望。"
156,80/100，尽管仍是Pixar那单一的倚靠概念的直陈式观念输出，但却消弭了以往人物间明晰的对抗关系。仅凭借对世界维度的延展与物质经验的引申，还是唤起了感官深处的微妙心弦。形而上的存在主义思考被有条不紊的安置于充满音乐性的礼赞的语义，这是生活的奇迹，或奇迹的生活。
157,跟《Inside Out》真是异曲同工的巧思和感动，结尾推高潮有点后继乏力，但全片仍然是笑中带泪发人深省。结尾彩蛋 Terry 说电影结束了叫大家回家有点心酸，毕竟许多观众们今年都说在家里看的。
158,一个心怀梦想不肯去死的乐手，一个拒绝出生气死无数导师的婴灵，难为编剧团队想出这么棒的人物组合，化和出种种爆棚笑料。把“出神”具象化为灵界一处无法之地也是神来之笔。可惜的是比同样探讨人内心和灵魂的《头脑特工队》和《寻梦环游记》少了些奇观段落，对生死的严肃思考降格成了“以梦想还是感受定义自我？”的身份问题。如果把22号爱上人生的过程以佛教六根六尘一十八境的方式展现出来就好了，可惜推崇热闹动感的美国动画显然不会走那条路。
159,主题就是今年我大彻大悟的“珍惜当下”，很浅显的道理都放在电影表面，不需要多思考，也算是一种排遣。做人好难的，希望二十二能在地球过的开心（飞奔向地球那点还是让人很感动的～
160,故事偏套路制式，想象力创造力的亮点不够（可能只有出神的世界），点燃不了我熄灭已久的火花。
161,冷漠脸看完，珍惜每一刻这种事还需要费这么大一圈力气讲吗？
162,这个片子这么有共鸣的原因 是因为电影用非常巧妙的方式告诉我们：大家都是普通人，没有什么必须要找的生命的意义，我们在水里面，还要找什么海洋呢？
163,二十二号最后应该是变成了丁真…
164,留待2020最末上映简直再合适不过了，生死边界的《寻梦环游》加上活在当下的普世劝诫，不仅起到疗愈效果，更告诫观众，即便2020年又是未来10年最好一年，也别悲观或执着，过一天算一天，感受温度触摸落叶打开耳目吧。这个劝诫，也像观影过程一样，全场观众不吭一声，在黑暗里，耐心等待着漫长的结尾字幕后出现一个交待”22“在人间的菜单，结果灵界那个算盘判官跳出来，”快回家吧，电影结束了“。是的，别执念，很多时候，可能什么都等不来。
165,"是啊，为什么非要有什么明确的目标，非要找到自己最擅长的那件事呢？好好活着，即使什么都没有，也还是可以畅快地呼吸，可以且听风吟，可以面朝大海。感觉受到了强烈的被理解和被接受，感动哭。皮克斯的人都是哲学家心理学家社会学家吧~感谢所有点亮生命的电影。感谢说“芝士只是点亮世界的灵光”这句话的梁文道。"
166,人生的意义是享受一块pepperoni披萨，是躺在排风扇上感受被风吹起来的滋味，是和理发师谈人生，是让妈妈理解自己的决定，是走在路上，是仰望星空。那些just regular old living才是人生无穷无尽的sparks啊，平庸的人生也是传奇！ps：感谢皮克斯在操蛋的2020年末提醒我们生活里那些琐碎的细枝末节才是活着的意义，感恩！
167,四星打给生死界设定、灵魂离体的嬉皮士们、泛柔光的纽约和爵士。如果是疫情之前看到这部片的话我应该会大受感动，但现在的我好像已经无法被本片描绘的那种有些轻飘飘的“being alive”状态打动。落叶，披萨，风，都很美也很好，但它们或许只能成为像22那样还未出生、所有感官都还新鲜蓬勃的灵魂向往生活的理由。由Joe这样一个既拥有天赋又得到机遇、最终还能破格死而复生的主角来表达“没有目标也很好”也挺拧巴，我不想让皮克斯这一群创意行业顶尖天才们来安慰我享受平凡，我更关心想当兽医的理发师。
168,万象城百丽宫3厅。外企正念课程既视感，似是而非的概念混杂（二元论，量子空间，性格配方，冥想/心流），为社畜提供一些似是而非的therapies，比如观看基金经理砸电脑。积极心理的疗愈，最终都要返回自然主义的情境，但叙事和拟像的工业，恰恰是对自然的exploit，说到底，用银幕来安慰，还是娱乐。同样是灵魂的“活在此刻”，我选择2014年的黑镜圣诞篇。
169,有一些微小瑕疵但整体画风和故事太神了，这么烂俗的内核被各种巧妙的设置包裹到像一块软绵绵的慕斯蛋糕（加布丁🍮和草莓🍓的那种），顺口顺喉，太适合冬季了👀
170,提醒了我，寻梦环游记是皮克斯最糟糕的电影，没有之一
171,已经有段时间没在皮克斯片子中感受到这种自然流动感了
172,四星半。彼得·道格特的编导能力已经甩开绝大多数导演狠狠一截，当新意成为了潜意识，哪会有枯萎可言。在三维空间盘剥心态的线性计量，拓宽的是人生的疆界，坐实的注定是灵魂的4/4拍真我。
173,迪士尼对「人生的意义」的解答。所谓人生的意义，就在这途中的每分每秒里。生而为人，真的太好了。
174,写作策略大幅转变。情节在恒定的简单动力驱使之下于各个关联性不强的局部小剧场之间游荡，不再有伏笔的穿针引线，文本的紧实感被削弱。是最不算计的皮克斯，但也未必就一定是最真诚的，毕竟缺少深层结构编织的牵引和掩护后，人物弧光的拐点难免突兀。但将从前凝聚在一个或数个明确节点的情绪稀释并注入整个后半段，仍是值得鼓励的尝试，可以类比伊斯特伍德电影从90s到10s的演进。同时，部分段落的视听（如总是与Terry形象同时出现的电子乐伴奏、生命尽头黑暗宇宙中的灵魂出窍）是强大而纯净的，这在一众商业CGI动画（包括皮克斯此前作品）为讨好低年龄层观众而铺排的塑料奇观中是相当特别的。彼得·道格特应当是皮克斯的作者中最值得期待的一位。
175,献给社畜的一曲挽歌，没有目标的22，偶然发现了活着就是目标；有目标的乔伊，却在梦想实现后失去了目标。面对司空见惯的日子有的人厌世，有的人则乐在其中，终究而言，把自己的人生过好，就是活着的意义。皮克斯是真的厉害，本片与《头脑特工队》《寻梦环游记》可以并称为“人生三部曲”，都是有故事的人才能懂的成年向动画。PS，杰瑞长得像mac里的Finder图标
176,看22最后的去向，似乎是降落到了…非洲？？想象一下满怀对披萨、理发店、棒棒糖和落叶的憧憬来到地球，最后出生在部落舞、病毒、野兽、叛军和政变频繁的国度，22投胎成功之后不知道会不会意识到灵魂学院其实是多么灯塔国的一家之言。
177,自我否认和和自我沉迷都会沉入混沌的深渊，对某一领域的热爱和成就不是生命唯一的火花。什么样的人生是有意义的人生?不论是林肯还是阿里，我们似乎默认了那些功成名就的人以及他们的人生是有意义的，却很难发现你我就是秋色里的一片落叶、 理发店里的棒棒糖，也许并不宏大，但是本身就有意义。年度最爱
178,我们向往星辰大海，又困在无边无际黑黢黢的海水中，太多人窥见了生活的真相，却忘了火花点亮的瞬间有多迷人。Joe和22未能再相遇，所有人都希望他们再相遇，但遇到一次还不够吗，足够了。一定要去电影院看这部片子啊，尤其是在经历了如此糟糕的2020之后。音乐好听，视觉也赞，想象力惊叹，疗愈力更是爆棚，关键还很好笑，简直是收到了一份意外的圣诞礼物！
179,9.0 本以为设定和《inside out》相似，结果重点不是所谓的灵魂世界，那个不重要，活着才是重要的，这也是今年疫情之后最需要的电影。开头那场刺激的坠入以及各种奇妙幻想的瞬间，让你感觉活着真好，《soul》做到了《inside out》没有做到的互动。
180,非音乐性地指向音乐性。于我于世都太妙啦。和《头脑特工队》《寻梦环游记》是同一部电影。其实都是杰瑞。
181,人家怎么能把一个内核如此简单的故事用这样一种意想不到的方式讲述出来呢？全篇没有硬灌鸡汤、硬上价值观，但我想大部分人可能都记住了那个飞翔而下的翅果、亦或者是那个身在水中却畅想深海的小鱼。同时回想一下自己普通而平凡的生活，没有火花，但不乏确幸。
182,动画版《柏林苍穹下》。我喜欢那些在灰烬之海里独自消沉的怪物们。
183,期盼了一年 终于拔草了！！！！！！
184,#江湖观影团#《心灵奇旅》的创作者是不是罗曼·罗兰的粉丝？全片浸透着认清生活的真相后依然热爱生活这个道理。人生的意义是享受每一个当下，另外灵魂世界的工作人员都像毕加索的画风，很有意思。
185,皮克斯年度治愈之作。不是每个人都有宏大的理想，对生活的热情和生活中的点滴美好才是支撑我们活下去的力量。它可以是一块美味的披萨，一段美妙动人的街头卖艺，一次和理发师的愉快对话。愿你像刚出生一样活着，对世界永远充满好奇心，善于发现生活中的美。愿每一个迷失的灵魂都能找到归途。
186,太好了。非常巧妙地回答了「人为什么活着」这个略显俗气的问题，答案可能在一首歌里、一块披萨里，甚至一片落叶里。真的很适合在年终岁尾上线，可以加到节日常驻片单里。
187,暂时不写，也写不出来，但迫不及待要表明心情和态度，留住并享受这一刻。
188,排片太少啦！！！！
189,每一个打工人都应该看看。我喝奶茶，我吃火锅，我同爱人亲吻，我感受每一阵风拂过脸庞，我看《心灵奇旅》落泪，都是永恒的一瞬间。
190,你不必成为有用的人 也不用成为他人眼中期盼的人 你只要成为自己想成为的人就行了（又为自己的咸鱼找到了借口 emmm）
191,"秋风瑟瑟，落叶归根。一种空灵的、闲适的、轻愉的触动油然而生，于眼眶里冲兑了点滴盐水，在胸口间悄悄填满了通行证。那就是生活的感觉，生命享受活着的感觉。
（没想到迪士尼这次会致敬毕加索，这是动画人的 Spark 吗？）"
192,无声爆哭，是纽约啊
193,"应该是《头脑特工队》之后看过最好的动画片，差点因为这个无语的译名错过。对于人生本质的思考和呈现别说动画片了，即便真人电影也没几个比这个展现得透彻。
更巧的是电影主角也叫Joey，也贼喜欢音乐，前期和后期对生活的态度和感悟也都跟我一毛一样，要不要这么巧，完全像是在拍我本人好吗！！！
推荐所有热爱音乐🎶，热爱or不热爱生活，对生命希望or绝望的人，活不明白的人把你去看《晴雅集》的票钱省下来，都去看这部电影，这才是真正值得你花2小时间坐在电影院观看的好片！！！
PS:电影播完，字幕上来，一看配乐是我大Trent Reznor，难怪全程音乐都这么牛逼！"
194,真正杰出的电影仿佛是一道时空门，当你走出影院时，感觉就不再是走进影院的那同一个人了。它不见得能教会你什么新的东西，但它一定会带你去感受一些你已经做好准备要接受的东西。这部电影做到了。虽然老实讲，在离开影院后，这种感受还是免不了会被真实的生活逐渐吞没。但没关系，因为“A spark isn't a soul's purpose”。带着这些火花继续前行就好，正如另一句台词所说：“I’ll go with you…as far as I can.”
195,把拥有完整人格当成目标这件事，比起有钱或某种世俗的目标来起来难多了。
196,没有火花也要认真地生活呀 555
197,近几年一直对皮克斯往极度现实化的美学（科技）发展毫无感觉，但在这部中它带回了一些被遗忘的东西：首先是“传送门”（剪辑），一直会需要门，透过门去看到一些东西，通过穿过一扇门，影片朝着最抽象的地方去绕了一圈来试图带回我们的感官；还稍稍带回了的是“仓库”的概念，通过彻底的物化来发现一些差异，可惜这个影像被整体的概念化一股脑地拍扁成了点线面，想想当年《玩具》中无限复制的巴斯光年包装盒是多么老辣。
198,是我理想中的皮克斯该有的样子。整部片子就像爬楼梯，一层一层地塞给我新的价值观，却完全不让我厌烦。男主过完他本以为生命中最重要的一天以后的感受也是我的经验，而我还在继续摸索的路上。
199,抽象的灵魂被皮克斯拍得生动有趣，且充满哲学意味，相信每个年龄段的观众都能从中找到属于自己的那份感动。这是一部能让人学会感受生命的电影，比简单灌输梦想那一套更震撼人心。这种感受生命与追逐梦想并不对立，而是以一种积极的姿态认清自己、把握当下，过好自己的人生。这样的主题很有必要，也能引起成年人的共鸣。大部分人的一生注定平庸，对于平常人来说，看到的美景、品味的美食、人与人之间的亲情友情才是能够时刻把握的。片中有很多场景，会让人觉得，放在时间的长河和浩瀚的宇宙下，人类根本不算什么，人平庸或是伟大的一生更是虚无渺小，《心灵奇旅》能让观影者思考人存在和活着的意义，也能给很多成年人心灵上的慰藉，找到此刻属于自己的“火花”。
